abbreviate carbine battalion
exponential abundant hacienda
malicious dismantle accordion
fluctuate neurologist bailiff
perceptible jaundice gossamer
acquittal optimistic tranquilizer
disintegration contempt affidavit
burgundy perpetrator chivalry
spasmodic delirious aisle
coincidence stratocumulus fraternize
enthusiasm alleviate malleable
plausible filament blunder
almanac kerosene dormancy
blatant elysian amiable
kudos collateral heirloom
decrepit hyphenate distraught
immaculate exigent anxiety
conspiracy felicitation jocund
ghastly zymurgy caribou
abdicate miscellaneous factitious
triceratops colloquial bastion
embryonic bauble contagious
bayou portentous negligence
cauliflower malediction charisma
embodiment inaugural erratic
peccadillo colossal bilious
impenetrable sciatica zwieback
choreographer acerbate duplicate
bolshevism forfeit brogan
googol subsidiary monotonous
austere purveyor alabaster
calibrate alliance weevil
whimsical hemisphere palfrey
regurgitate kinesiology magisterial
filibuster indelible localize
emancipation chapeau espionage
hilarity abstraction chimera
antonym globule oblivion
basilica emporium beatific
pneumatic facile aggregate
grievance infectious concierge
brouhaha agronomy femur
affluent dexterous construe
consultant zeppelin extraneous
disquietude ocelot contrary
contrive humorous procrastinate
behemoth covenant cranium
crimson fractious gratitude
aspersion anomaly enamel
cyanide incongruous declination
sorcerer negativism cicada
despotism feasible gauche
haughtily mimeograph dichotomy
diesel pessimistic tabernacle
oscillation cathartic falderal
meliorate mauve arrogance
alteration druid incendiary
miserable agriculture patriotism
bibelot legume emphasis
angstroms embellish viscous
stenography ultimatum acumen
emphatic contradict detonate
posthumous quintuplet marionette
beneficence parenthesis zoologist
sirloin confabulate vindicate
upholstery pachyderm ridiculous
impromptu euphoric incisiveness
agitation elocution bureaucracy
deterrent friar germane
flourish piteous hooligan
Round 2 WORDS
vestibule occurrence convoluted
incredulous thievery oligarchy
alluvium enumerate league
oxidize metamorphosis rhetoric
sayonara patrician usurer
pecuniary jealousy requiem
manganese pertinence environment
igneous zygote prognosis
constraint subservience siege
buttress chateau ambrosia
jostle accomplice restitution
knavery languid epidermis
treacherous bonhomie lummox
macabre visualization acme
bayonet diversify equestrian
acoustic melancholy crucible
exhume crotchety perilous
.
enthusiasm serviceable platitude
utopian adequacy boloney
nonchalant chambray ullage
querulous psyche guarantee
therapeutic improvisational quorum
outrageous pheasant repatriate
nourishment souvenir valedictory
tenacious outrageous plateau
dormancy anarchy betrothal
plebeian ululate solemn
extinguish repertoire comatose
bifurcate odious emollient
chromatic predicament rheumatic
expiate wrought yearling
alkaline equivocation officious
zealot migratory suspiciously
jettison alpinist receptacle
exodus clairvoyance adroitness
harbinger largesse timorous
clavicle halcyon calypso
mediocre detonate exaggerate
galleon caricature impasse
interference allegory expatriate
howitzer equanimity incoherent
advocate detriment gendarme
nocuous confidence frivolous
exhilarated buoyant countenance
nomenclature antenna dissident
rigorous nettlesome queasy
viable lassitude urbane
oxymoron pomegranate strictly
formulation intimidate turbulence
accumulate pursuit ignominy
poignant loathe predilection
vogue fidelity acolyte
infatuation scald liturgy
